metric,explain,linguistic_label,k400_label,domain_label
f0460318,M.D.'s_Patient_Care_Office_Based_Non_Federal=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0460518,M.D.'s_Total_Patient_Care_Hospital_Full_Time_Staff=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0460618,M.D.'s_Total_Administration=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0460718,M.D.'s_Total_Teaching=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0460918,M.D.'s_Total_Other=2018,Medical Doctor Workforce Demographics and Activities,Pathology and other specialty other professional activity,
f0461018,Medical_Doctors_Total_General_Practice_Total=2018,General Practice Medical Doctor Workforce,General practice physicians by age group (35-64),
f0461318,Medical_Doctors_Total_General_Practice_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,General practice physicians by age group (35-64),
f0461418,Medical_Doctors_Total_General_Practice_Administration=2018,General Practice Medical Doctor Workforce,General practice physician administration,
f0461518,Medical_Doctors_Total_General_Practice_Teaching=2018,General Practice Medical Doctor Workforce,"General practice early-career, teaching, and hospital residents",
f0461718,Medical_Doctors_Total_General_Practice_Other=2018,General Practice Medical Doctor Workforce,"Allergy/immunology research, general practice other activity, and transplant surgery workforce",
f0461818,Medical_Medicine_Specialty_Total_Total=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0462118,Medical_Medicine_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0462218,Medical_Medicine_Specialty_Total_Administration=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0462318,Medical_Medicine_Specialty_Total_Teaching=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0462518,Medical_Medicine_Specialty_Total_Other=2018,Medical and Surgical Specialty Physician Workforce,General internal medicine and pediatrics other activity,
f0463118,Cardiovas_Disease_Total=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0463318,Cardiovas_Disease_Patient_Care_Office_Based=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0463518,Cardiovas_Disease_Patient_Care_Hospital_Full_Time_Staff=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0463618,Dermatology_Total=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0463818,Dermatology_Patient_Care_Office_Based=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0464018,Dermatology_Patient_Care_Hospital_Full_Time_Staff=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0464118,Gastroenterology_Total=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0464318,Gastroenterology_Patient_Care_Office_Based=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0464518,Gastroenterology_Patient_Care_Hospital_Full_Time_Staff=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0466118,Pediatric_Cardiolgy_Total=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0466318,Pediatric_Cardiolgy_Patient_Care_Office_Based=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0466518,Pediatric_Cardiolgy_Patient_Care_Hospital_Full_Time_Staff=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0466618,Pulmonary_Disease_Total=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0466818,Pulmonary_Disease_Patient_Care_Office_Based=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0467018,Pulmonary_Disease_Patient_Care_Hospital_Full_Time_Staff=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0467118,Surgical_Specialty_Total_Total=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0467518,Surgical_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0467618,Surgical_Specialty_Total_Administration=2018,Medical and Surgical Specialty Physician Workforce,General and OB/GYN surgical administration,
f0467718,Surgical_Specialty_Total_Teaching=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0467918,Surgical_Specialty_Total_Other=2018,Medical and Surgical Specialty Physician Workforce,General surgical and psychiatric other professional activity,
f0468018,General_Surgical_Total=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0468218,General_Surgical_Patient_Care_Office_Based=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0468418,General_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0468518,Neurolgcal_Surgical_Total=2018,Neurology and Neurological Surgery Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0468718,Neurolgcal_Surgical_Patient_Care_Office_Based=2018,Neurology and Neurological Surgery Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0468918,Neurolgcal_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,Neurology and Neurological Surgery Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0469518,Ophthalmolgy_Total=2018,Ophthalmology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0469718,Ophthalmolgy_Patient_Care_Office_Based=2018,Ophthalmology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0469918,Ophthalmolgy_Patient_Care_Hospital_Full_Time_Staff=2018,Ophthalmology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0470018,Orthopedic_Surgical_Total=2018,Orthopedic Surgery Physician Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0470218,Orthopedic_Surgical_Patient_Care_Office_Based=2018,Orthopedic Surgery Physician Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0470418,Orthopedic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,Orthopedic Surgery Physician Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0470518,Otolaryngolgy_Total=2018,Otolaryngology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0470718,Otolaryngolgy_Patient_Care_Office_Based=2018,Otolaryngology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0470918,Otolaryngolgy_Patient_Care_Hospital_Full_Time_Staff=2018,Otolaryngology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0471018,Plastic_Surgical_Total=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0471218,Plastic_Surgical_Patient_Care_Office_Based=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0471418,Plastic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0471518,Colon_Rectal_Surgical_Total=2018,Colorectal Surgery Healthcare Provider Demographics,Colon/rectal surgery total and office-based workforce,
f0471718,Colon_Rectal_Surgical_Patient_Care_Office_Based=2018,Colorectal Surgery Healthcare Provider Demographics,Colon/rectal surgery total and office-based workforce,
f0471918,Colon_Rectal_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,Colorectal Surgery Healthcare Provider Demographics,Colon/rectal surgery mid-career and GP research activity,
f0472018,Thoracic_Surgical_Total=2018,Thoracic Surgery Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0472218,Thoracic_Surgical_Patient_Care_Office_Based=2018,Thoracic Surgery Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0472418,Thoracic_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,Thoracic Surgery Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0472518,Urology_Total=2018,Urology Physician Workforce by Age Groups,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0472718,Urology_Patient_Care_Office_Based=2018,Urology Physician Workforce by Age Groups,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0472918,Urology_Patient_Care_Hospital_Full_Time_Staff=2018,Urology Physician Workforce by Age Groups,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0473018,Other_Specialty_Total_Total=2018,Healthcare Specialists in Other Medical Fields,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0473318,Other_Specialty_Total_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0473418,Other_Specialty_Total_Administration=2018,Healthcare Specialists in Other Medical Fields,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0473518,Other_Specialty_Total_Teaching=2018,Healthcare Specialists in Other Medical Fields,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0473718,Other_Specialty_Total_Other=2018,Healthcare Specialists in Other Medical Fields,Pathology and other specialty other professional activity,
f0473818,Aerospace_Medical_Medicine_Total=2018,Aerospace Medicine Physicians by Age and Practice,Aerospace medicine total and office-based workforce,
f0474018,Aerospace_Medical_Medicine_Patient_Care_Office_Based=2018,Aerospace Medicine Physicians by Age and Practice,Aerospace medicine total and office-based workforce,
f0474218,Aerospace_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,Aerospace Medicine Physicians by Age and Practice,Mixed: aerospace medicine hospital staff and American Indian Chickasaw population,
f0474318,Anesthesiolgy_Total=2018,Anesthesia Healthcare Provider Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0474518,Anesthesiolgy_Patient_Care_Office_Based=2018,Anesthesia Healthcare Provider Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0474718,Anesthesiolgy_Patient_Care_Hospital_Full_Time_Staff=2018,Anesthesia Healthcare Provider Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0474818,Child_Psychiatric_Total=2018,Psychiatric Healthcare Services and Capacity,Child psychiatry total and office-based workforce,
f0475018,Child_Psychiatric_Patient_Care_Office_Based=2018,Psychiatric Healthcare Services and Capacity,Child psychiatry total and office-based workforce,
f0475218,Child_Psychiatric_Patient_Care_Hospital_Full_Time_Staff=2018,Psychiatric Healthcare Services and Capacity,"Mixed: child psychiatry, diagnostic radiology, and emergency medicine teaching and administration",
f0475318,Diagnostic_Radiology_Total=2018,Radiology Healthcare Provider Workforce Availability,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0475518,Diagnostic_Radiology_Patient_Care_Office_Based=2018,Radiology Healthcare Provider Workforce Availability,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0475718,Diagnostic_Radiology_Patient_Care_Hospital_Full_Time_Staff=2018,Radiology Healthcare Provider Workforce Availability,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0475818,Forensic_Pathology_Anatomic_Clinical_Total=2018,Forensic Pathology Physician Workforce and Demographics,Forensic pathology physicians by age and role,
f0476018,Forensic_Pathology_Anatomic_Clinical_Patient_Care_Office_Based=2018,Forensic Pathology Physician Workforce and Demographics,Forensic pathology physicians by age and role,
f0476218,Forensic_Pathology_Anatomic_Clinical_Patient_Care_Hospital_Full_Time_Staff=2018,Forensic Pathology Physician Workforce and Demographics,Forensic pathology mid-career hospital staff,
f0476318,Neurology_Total=2018,Neurology and Neurological Surgery Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0476518,Neurology_Patient_Care_Office_Based=2018,Neurology and Neurological Surgery Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0476718,Neurology_Patient_Care_Hospital_Full_Time_Staff=2018,Neurology and Neurological Surgery Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0476818,Occupational_Medical_Medicine_Total=2018,Medical Rehabilitation and Occupational Medicine Physicians,Occupational medicine total and office-based workforce,
f0477018,Occupational_Medical_Medicine_Patient_Care_Office_Based=2018,Medical Rehabilitation and Occupational Medicine Physicians,Occupational medicine total and office-based workforce,
f0477218,Occupational_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,Occupational medicine total and office-based workforce,
f0477318,Psychiatry_Total=2018,Psychiatric Healthcare Services and Capacity,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0477518,Psychiatry_Patient_Care_Office_Based=2018,Psychiatric Healthcare Services and Capacity,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0477718,Psychiatry_Patient_Care_Hospital_Full_Time_Staff=2018,Psychiatric Healthcare Services and Capacity,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0477818,Pathology_Anatomic_Clinical_Anatomical_Clinic_Total=2018,Anatomical Pathology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0478018,Pathology_Anatomic_Clinical_Anatomical_Clinic_Patient_Care_Office_Based=2018,Anatomical Pathology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0478218,Pathology_Anatomic_Clinical_Anatomical_Clinic_Patient_Care_Hospital_Full_Time_Staff=2018,Anatomical Pathology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0478318,Physician_Medical_Medicine_Rehabilitation_Total=2018,Medical Rehabilitation and Occupational Medicine Physicians,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0478518,Physician_Medical_Medicine_Rehabilitation_Patient_Care_Office_Base=2018,Medical Rehabilitation and Occupational Medicine Physicians,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0478718,Physician_Medical_Medicine_Rehabilitation_Patient_Care_Hospital_Full_Time_Staff=2018,Medical Rehabilitation and Occupational Medicine Physicians,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0478818,General_Prevention_Medical_Medicine_Total=2018,General Practice Medical Doctor Workforce,General preventive medicine total and office-based workforce,
f0479018,General_Prevention_Medical_Medicine_Patient_Care_Office_Based=2018,General Practice Medical Doctor Workforce,General preventive medicine total and office-based workforce,
f0479218,General_Prevention_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,General preventive medicine total and office-based workforce,
f0479318,Public_Health_Total=2018,Hospital and Long Term Care Utilization,Public health total and office-based workforce,
f0479518,Public_Health_Patient_Care_Office_Based=2018,General Practice Medical Doctor Workforce,Public health total and office-based workforce,
f0479718,Public_Health_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,Public health mid-career physicians and hospital staff,
f0480318,Radiation_Oncology_Total=2018,Radiation Oncology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0480518,Radiation_Oncology_Patient_Care_Office_Based=2018,Radiation Oncology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0480718,Radiation_Oncology_Patient_Care_Hospital_Full_Time_Staff=2018,Radiation Oncology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0481318,Unspecified_Total=2018,Unspecified Demographics and Age Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0481518,Unspecified_Patient_Care_Office_Based=2018,Hospital Medical Staff Patient Care,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0481718,Unspecified_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,Unspecified physicians mid-career and hospital staff,
f0481818,Medical_Doctors_Inactive_Total=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0481918,Medical_Doctors_Not_Classified_Total=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0482018,Total_M.D.'s_Male=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0482118,Total_M.D.'s_Female=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0490018,Medical_Doctors_Inactive_Male=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0490118,Medical_Doctors_Inactive_Female=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0490418,Total_M.D.'s_<_35=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0490518,Total_M.D.'s_35_44=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0490618,Total_M.D.'s_45_54=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0490718,Total_M.D.'s_55_64=2018,Medical Doctor Workforce Demographics and Activities,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0491018,Medical_Doctors_Total_General_Practice_<_35=2018,General Practice Medical Doctor Workforce,"General practice early-career, teaching, and hospital residents",
f0491118,Medical_Doctors_Total_General_Practice_35_44=2018,General Practice Medical Doctor Workforce,General practice physicians by age group (35-64),
f0491218,Medical_Doctors_Total_General_Practice_45_54=2018,General Practice Medical Doctor Workforce,General practice physicians by age group (35-64),
f0491318,Medical_Doctors_Total_General_Practice_55_64=2018,General Practice Medical Doctor Workforce,General practice physicians by age group (35-64),
f0491618,Medical_Specialty_Total_<_35=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0491718,Medical_Specialty_Total_35_44=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0491818,Medical_Specialty_Total_45_54=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0491918,Medical_Specialty_Total_55_64=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0492818,Cardiovascular_Diseases_<_35=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0492918,Cardiovascular_Diseases_35_44=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0493018,Cardiovascular_Diseases_45_54=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0493118,Cardiovascular_Diseases_55_64=2018,Cardiovascular Disease Prevalence and Care Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0493418,Dermatology_<_35=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0493518,Dermatology_35_44=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0493618,Dermatology_45_54=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0493718,Dermatology_55_64=2018,Dermatology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0494018,Gastroenterology_<_35=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0494118,Gastroenterology_35_44=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0494218,Gastroenterology_45_54=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0494318,Gastroenterology_55_64=2018,Gastroenterology Physician Workforce by Age and Setting,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0496418,Pediatric_Cardiology_<_35=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0496518,Pediatric_Cardiology_35_44=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0496618,Pediatric_Cardiology_45_54=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0496718,Pediatric_Cardiology_55_64=2018,Pediatric Cardiology Physician Workforce Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497018,Pulmonary_Diseases_<_35=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497118,Pulmonary_Diseases_35_44=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497218,Pulmonary_Diseases_45_54=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497318,Pulmonary_Diseases_55_64=2018,Pulmonary Disease Healthcare Resources and Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497618,Surgical_Specialty_Total_<_35=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497718,Surgical_Specialty_Total_35_44=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497818,Surgical_Specialty_Total_45_54=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0497918,Surgical_Specialty_Total_55_64=2018,Medical and Surgical Specialty Physician Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0498218,General_Surgery_<_35=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0498318,General_Surgery_35_44=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
