metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1554018,-0.062391,-0.529,-0.026812,-0.185,-0.075189,-0.683,0.009528,-0.059,0.021148,-0.141,-0.005738,-0.035,0.029141,-0.204,-0.01575,-0.101,0.077644,-0.715,0.362167,-9.467,0.480317,-17.006,0.415229,-12.49,0.392728,-11.142,0.339971,-8.356,0.322955,-7.562,0.553126,-23.344,0.465978,-15.927,0.472976,-16.447,0.360381,-9.374,0.293087,-6.283,0.256787,-4.912,0.254613,-4.836,0.187245,-2.807,0.198323,-3.099,0.27287,-5.495,0.249865,-4.673,0.186517,-2.788,142.893
f1322418,-0.059988,-0.497,-0.029304,-0.203,-0.067397,-0.581,0.006189,-0.037,0.023882,-0.16,-0.014179,-0.09,0.027881,-0.192,-0.018253,-0.118,0.076562,-0.693,0.442179,-14.041,0.514702,-19.524,0.420969,-12.668,0.418664,-12.525,0.414323,-12.258,0.377999,-10.168,0.520983,-20.063,0.421177,-12.681,0.449252,-14.52,0.339061,-8.197,0.243962,-4.415,0.261442,-5.009,0.231895,-4.029,0.135036,-1.617,0.208862,-3.348,0.247543,-4.533,0.207618,-3.313,0.184399,-2.7,141.654
f1554318,-0.075363,-0.685,-0.045252,-0.348,-0.071431,-0.636,0.014368,-0.092,0.017755,-0.116,0.0069,-0.042,0.032016,-0.228,0.000705,-0.004,0.058531,-0.486,0.254583,-4.835,0.468038,-16.079,0.438331,-13.984,0.322711,-7.551,0.24571,-4.533,0.213115,-3.514,0.576914,-25.771,0.510543,-19.454,0.463179,-15.722,0.372796,-10.03,0.344187,-8.561,0.200844,-3.168,0.277007,-5.651,0.253698,-4.805,0.133512,-1.607,0.321804,-7.51,0.321022,-7.475,0.17131,-2.414,137.788
f1553618,-0.060177,-0.504,-0.027038,-0.187,-0.069749,-0.616,0.01036,-0.064,0.026676,-0.184,-0.012716,-0.08,0.028082,-0.195,-0.019124,-0.126,0.079903,-0.744,0.387836,-10.862,0.466562,-15.97,0.394534,-11.246,0.394649,-11.253,0.364248,-9.575,0.344122,-8.558,0.526624,-20.859,0.436478,-13.86,0.455879,-15.197,0.338527,-8.287,0.262236,-5.106,0.259308,-5.001,0.233677,-4.14,0.157048,-2.089,0.203757,-3.248,0.248376,-4.622,0.22127,-3.755,0.179782,-2.619,135.774
f1550718,-0.053306,-0.43,-0.011012,-0.069,-0.084697,-0.809,-0.005141,-0.031,0.015774,-0.101,-0.024562,-0.167,0.032593,-0.233,-0.025923,-0.178,0.105373,-1.114,0.328447,-7.813,0.445853,-14.495,0.35622,-9.161,0.436023,-13.83,0.300635,-6.593,0.314841,-7.201,0.488586,-17.652,0.396707,-11.373,0.454789,-15.119,0.339535,-8.335,0.241243,-4.384,0.320208,-7.439,0.260569,-5.046,0.159525,-2.144,0.278205,-5.697,0.266432,-5.257,0.213102,-3.514,0.252884,-4.776,135.011
f1553518,-0.058847,-0.489,-0.028258,-0.197,-0.065818,-0.569,0.012983,-0.082,0.028698,-0.2,-0.011531,-0.072,0.022944,-0.154,-0.021416,-0.143,0.073985,-0.668,0.378727,-10.353,0.466186,-15.942,0.396907,-11.385,0.387495,-10.843,0.355256,-9.112,0.337303,-8.229,0.545396,-22.596,0.453518,-15.029,0.470374,-16.253,0.333524,-8.05,0.262906,-5.13,0.24599,-4.542,0.228537,-3.978,0.158744,-2.127,0.188144,-2.83,0.247521,-4.593,0.224652,-3.858,0.171475,-2.418,132.922
f1322318,-0.054508,-0.438,-0.013543,-0.085,-0.08188,-0.762,-0.009282,-0.057,0.011294,-0.07,-0.025661,-0.174,0.037054,-0.269,-0.020497,-0.135,0.102621,-1.059,0.409694,-11.977,0.47874,-16.642,0.368969,-9.687,0.446871,-14.357,0.378783,-10.21,0.366427,-9.554,0.455792,-14.973,0.357395,-9.092,0.424741,-12.905,0.325717,-7.582,0.20805,-3.325,0.311907,-6.975,0.232168,-4.038,0.11241,-1.215,0.264259,-5.109,0.239956,-4.285,0.177254,-2.525,0.232983,-4.063,129.063
f1448114,-0.01631,-0.105,-0.048686,-0.382,0.045507,-0.351,0.007085,-0.043,0.000647,-0.004,0.00498,-0.03,0.024288,-0.165,0.060998,-0.513,-0.049155,-0.387,-0.465837,-15.917,-0.415994,-12.538,-0.343805,-8.542,-0.391713,-11.083,-0.421541,-12.887,-0.454163,-15.075,-0.488689,-17.66,-0.404314,-11.824,-0.456265,-15.224,-0.274999,-5.575,-0.226979,-3.93,-0.205641,-3.301,-0.150501,-1.948,-0.091487,-0.904,-0.162346,-2.207,-0.110276,-1.194,-0.079345,-0.737,-0.131639,-1.571,126.325
f1448014,0.01629,-0.105,0.048672,-0.382,-0.045515,-0.351,-0.007083,-0.043,-0.000646,-0.004,-0.004985,-0.03,-0.02427,-0.165,-0.060985,-0.513,0.049168,-0.387,0.465832,-15.916,0.415997,-12.538,0.343814,-8.543,0.391697,-11.082,0.421543,-12.887,0.45414,-15.073,0.488681,-17.659,0.404314,-11.824,0.456242,-15.223,0.275011,-5.576,0.226993,-3.93,0.205641,-3.301,0.150509,-1.949,0.091496,-0.904,0.162344,-2.207,0.110287,-1.194,0.079359,-0.737,0.13163,-1.571,126.321
f1332118,-0.056605,-0.46,-0.01654,-0.106,-0.080842,-0.749,-0.009668,-0.059,0.010483,-0.065,-0.025732,-0.175,0.037666,-0.275,-0.018486,-0.12,0.100944,-1.033,0.399014,-11.346,0.474484,-16.323,0.36771,-9.621,0.440712,-13.943,0.369886,-9.735,0.35519,-8.981,0.45108,-14.646,0.355256,-8.985,0.418857,-12.537,0.323127,-7.466,0.207591,-3.312,0.309127,-6.857,0.235603,-4.146,0.118089,-1.31,0.263502,-5.082,0.243516,-4.4,0.182022,-2.641,0.232729,-4.055,125.522
f1548418,-0.063398,-0.541,-0.021181,-0.141,-0.085084,-0.814,-0.003153,-0.019,0.017931,-0.117,-0.025036,-0.171,0.042368,-0.321,-0.016402,-0.106,0.107146,-1.143,0.354635,-9.08,0.444474,-14.401,0.359154,-9.311,0.423901,-13.038,0.332174,-7.987,0.319784,-7.42,0.447827,-14.632,0.364029,-9.564,0.409019,-12.108,0.344301,-8.566,0.245009,-4.509,0.321149,-7.481,0.259111,-4.994,0.155161,-2.048,0.280103,-5.77,0.263901,-5.166,0.212679,-3.501,0.243552,-4.461,124.524
f1332218,-0.048439,-0.376,-0.016278,-0.104,-0.066113,-0.566,-0.006437,-0.039,0.01341,-0.084,-0.023673,-0.159,0.026661,-0.182,-0.021571,-0.143,0.08304,-0.778,0.403322,-11.598,0.471273,-16.085,0.373103,-9.905,0.416617,-12.398,0.37445,-9.977,0.357346,-9.089,0.477061,-16.516,0.384288,-10.512,0.429719,-13.223,0.311291,-6.949,0.207414,-3.307,0.277078,-5.578,0.214333,-3.503,0.108644,-1.154,0.227172,-3.884,0.219923,-3.666,0.173618,-2.438,0.187916,-2.788,121.83
f1539214,0.0872,-0.843,0.053193,-0.429,0.079543,-0.739,0.016283,-0.105,0.022334,-0.15,-0.010477,-0.065,-0.057311,-0.473,-0.032861,-0.235,-0.057454,-0.474,-0.070795,-0.628,-0.394209,-11.228,-0.407654,-12.025,-0.210462,-3.438,-0.079582,-0.74,-0.037743,-0.278,-0.518433,-20.134,-0.497674,-18.382,-0.382934,-10.586,-0.354585,-9.078,-0.351297,-8.912,-0.164369,-2.253,-0.278465,-5.707,-0.300636,-6.593,-0.060784,-0.511,-0.346451,-8.672,-0.374171,-10.104,-0.12094,-1.376,121.421
f1551618,-0.062662,-0.532,-0.018599,-0.122,-0.091226,-0.9,-0.019652,-0.13,-0.006046,-0.037,-0.019346,-0.127,0.058675,-0.488,0.006476,-0.039,0.108003,-1.157,0.190936,-2.903,0.415993,-12.538,0.355862,-9.143,0.380756,-10.465,0.178216,-2.58,0.178908,-2.597,0.419593,-12.764,0.363853,-9.555,0.376148,-10.211,0.377665,-10.294,0.297594,-6.467,0.325476,-7.677,0.321924,-7.516,0.242968,-4.441,0.280601,-5.789,0.324782,-7.645,0.277201,-5.659,0.275038,-5.577,121.3
f1448314,0.005298,-0.032,0.031133,-0.22,-0.037933,-0.28,-0.001143,-0.007,0.000136,-0.001,0.003917,-0.023,-0.019999,-0.132,-0.044718,-0.343,0.031818,-0.226,0.392635,-11.136,0.410933,-12.225,0.36847,-9.798,0.329085,-7.843,0.361881,-9.452,0.365818,-9.658,0.518285,-20.121,0.453826,-15.051,0.447142,-14.584,0.286098,-6.004,0.264609,-5.191,0.164304,-2.251,0.164171,-2.248,0.138785,-1.709,0.103574,-1.086,0.135927,-1.653,0.128319,-1.509,0.093879,-0.939,121.063
f1449214,-0.005314,-0.032,-0.03115,-0.221,0.037935,-0.28,0.001178,-0.007,-9.9e-05,-0.001,-0.003915,-0.023,0.019987,-0.132,0.044705,-0.343,-0.031821,-0.226,-0.392619,-11.136,-0.410926,-12.225,-0.368464,-9.798,-0.329083,-7.843,-0.361867,-9.451,-0.365811,-9.657,-0.518274,-20.12,-0.453823,-15.051,-0.447122,-14.583,-0.286102,-6.004,-0.264605,-5.191,-0.164324,-2.252,-0.164166,-2.248,-0.138777,-1.709,-0.103578,-1.086,-0.135929,-1.653,-0.128323,-1.509,-0.09388,-0.939,121.059
f1443214,-0.037598,-0.277,-0.002087,-0.012,-0.06418,-0.55,0.002502,-0.015,0.022103,-0.148,-0.022082,-0.148,0.015236,-0.098,-0.037811,-0.279,0.083994,-0.799,0.41988,-12.782,0.427727,-13.284,0.33712,-8.22,0.408189,-12.058,0.388569,-10.904,0.385351,-10.721,0.478496,-16.866,0.378468,-10.339,0.442581,-14.271,0.293168,-6.286,0.202293,-3.208,0.265376,-5.219,0.185662,-2.767,0.08795,-0.854,0.223079,-3.81,0.182204,-2.679,0.140856,-1.75,0.175984,-2.526,120.95
f1445214,0.084145,-0.801,0.05221,-0.418,0.074423,-0.674,0.016389,-0.106,0.019088,-0.125,-0.004994,-0.03,-0.054165,-0.439,-0.028686,-0.2,-0.057494,-0.475,-0.115344,-1.279,-0.405659,-11.904,-0.417582,-12.637,-0.221434,-3.76,-0.125063,-1.45,-0.068416,-0.6,-0.518025,-20.098,-0.496822,-18.313,-0.383246,-10.603,-0.355828,-9.141,-0.350592,-8.877,-0.169055,-2.361,-0.271245,-5.435,-0.290746,-6.188,-0.063749,-0.545,-0.335625,-8.149,-0.362334,-9.476,-0.118688,-1.336,120.821
f1332318,-0.043385,-0.327,-0.012118,-0.076,-0.062878,-0.529,-0.006635,-0.04,0.015063,-0.096,-0.026577,-0.181,0.023318,-0.156,-0.025578,-0.173,0.083057,-0.778,0.424021,-12.86,0.46322,-15.5,0.36246,-9.349,0.418144,-12.493,0.395133,-11.122,0.372271,-9.861,0.459604,-15.242,0.366344,-9.55,0.418719,-12.528,0.301472,-6.537,0.195467,-2.984,0.277458,-5.592,0.199657,-3.095,0.090019,-0.873,0.230631,-3.99,0.20031,-3.113,0.152544,-1.967,0.18434,-2.698,120.634
f1440214,-0.023201,-0.156,0.013603,-0.086,-0.063911,-0.547,-0.00719,-0.044,0.015043,-0.096,-0.028445,-0.198,0.008944,-0.055,-0.046586,-0.361,0.088612,-0.863,0.353625,-9.029,0.427875,-13.294,0.341559,-8.433,0.410169,-12.178,0.322961,-7.563,0.338318,-8.277,0.495027,-18.167,0.398901,-11.502,0.463874,-15.773,0.310796,-7.024,0.225398,-3.881,0.275706,-5.602,0.21531,-3.578,0.124619,-1.441,0.232593,-4.105,0.211217,-3.459,0.169002,-2.36,0.197357,-3.073,116.842
f1440714,0.058318,-0.484,0.015645,-0.101,0.084581,-0.807,0.017594,-0.114,0.003175,-0.019,0.021411,-0.143,-0.039647,-0.295,0.012664,-0.08,-0.097645,-0.995,-0.297616,-6.468,-0.43234,-13.586,-0.363436,-9.533,-0.391788,-11.088,-0.275447,-5.592,-0.277767,-5.68,-0.491301,-17.868,-0.413324,-12.372,-0.445278,-14.456,-0.331618,-7.961,-0.25221,-4.753,-0.287176,-6.046,-0.248541,-4.628,-0.172886,-2.452,-0.227098,-3.933,-0.260182,-5.032,-0.226629,-3.919,-0.207384,-3.35,115.682
f1443014,-0.034218,-0.247,-0.004829,-0.029,-0.054962,-0.447,0.006316,-0.038,0.024371,-0.165,-0.015012,-0.096,0.0126,-0.079,-0.033688,-0.242,0.069577,-0.614,0.383378,-10.611,0.433208,-13.643,0.350504,-8.873,0.385053,-10.705,0.352681,-8.982,0.354525,-9.075,0.50957,-19.371,0.406643,-11.964,0.456581,-15.247,0.305227,-6.786,0.224344,-3.849,0.24304,-4.444,0.200974,-3.171,0.117229,-1.311,0.194841,-3.006,0.198573,-3.106,0.168355,-2.345,0.156601,-2.079,115.257
f1448214,0.070008,-0.619,0.039359,-0.293,0.069109,-0.608,0.025874,-0.177,0.027588,-0.191,7e-06,-0.0,-0.048359,-0.379,-0.02305,-0.155,-0.056374,-0.462,-0.095025,-0.956,-0.387776,-10.858,-0.400424,-11.592,-0.213964,-3.539,-0.103872,-1.091,-0.057941,-0.479,-0.506313,-19.097,-0.487338,-17.553,-0.380326,-10.441,-0.34531,-8.616,-0.34098,-8.405,-0.165897,-2.288,-0.259835,-5.02,-0.28025,-5.776,-0.061026,-0.514,-0.322323,-7.534,-0.349918,-8.843,-0.1108,-1.202,113.735
f1445014,0.032803,-0.235,0.063322,-0.54,-0.038744,-0.287,-0.012334,-0.078,-0.005247,-0.032,-0.008433,-0.052,-0.035696,-0.26,-0.0711,-0.632,0.045101,-0.347,0.444814,-14.424,0.391021,-11.044,0.319337,-7.4,0.380967,-10.477,0.398987,-11.507,0.445064,-14.441,0.473601,-16.494,0.392462,-11.127,0.450207,-14.797,0.255134,-4.855,0.209165,-3.4,0.19657,-3.052,0.13169,-1.572,0.07428,-0.672,0.155928,-2.065,0.08718,-0.843,0.056745,-0.466,0.12106,-1.378,111.711
f1539014,0.037551,-0.276,0.067159,-0.585,-0.03609,-0.263,-0.01125,-0.07,-0.003857,-0.023,-0.008546,-0.052,-0.038702,-0.287,-0.073758,-0.665,0.043538,-0.332,0.455157,-15.145,0.383676,-10.627,0.308316,-6.917,0.382759,-10.576,0.40696,-11.983,0.457817,-15.335,0.463112,-15.717,0.379418,-10.391,0.445631,-14.48,0.245005,-4.509,0.197833,-3.086,0.193313,-2.965,0.121452,-1.385,0.060711,-0.51,0.157562,-2.101,0.073498,-0.662,0.039952,-0.298,0.120593,-1.37,111.171
f1445114,0.053481,-0.432,0.019609,-0.129,0.065588,-0.566,-0.026935,-0.186,-0.028781,-0.201,-0.01256,-0.079,-0.013606,-0.086,0.019948,-0.132,-0.053522,-0.432,-0.434381,-13.72,-0.424509,-13.077,-0.364371,-9.582,-0.356435,-9.172,-0.405861,-11.917,-0.384133,-10.653,-0.454622,-15.108,-0.377097,-10.263,-0.389934,-10.981,-0.29334,-6.293,-0.247158,-4.581,-0.200147,-3.149,-0.193151,-2.961,-0.138505,-1.704,-0.161541,-2.189,-0.179626,-2.615,-0.151019,-1.959,-0.156986,-2.088,110.766
f1539114,0.085686,-0.822,0.038238,-0.282,0.09927,-1.019,-0.025624,-0.175,-0.014532,-0.093,-0.033318,-0.239,-0.038592,-0.286,-0.004695,-0.028,-0.065032,-0.56,-0.261114,-5.065,-0.430014,-13.433,-0.38312,-10.596,-0.331829,-7.97,-0.236742,-4.238,-0.247187,-4.582,-0.515977,-19.92,-0.443832,-14.357,-0.426137,-13.181,-0.338952,-8.308,-0.299269,-6.536,-0.209128,-3.399,-0.259834,-5.02,-0.220615,-3.736,-0.157131,-2.091,-0.274764,-5.566,-0.2573,-4.93,-0.178195,-2.58,109.952
f1434414,0.080832,-0.756,0.046616,-0.362,0.076738,-0.703,0.014172,-0.09,0.008695,-0.053,0.006489,-0.039,-0.052457,-0.421,-0.017228,-0.112,-0.0728,-0.653,-0.120437,-1.367,-0.394046,-11.218,-0.375391,-10.17,-0.271122,-5.43,-0.120248,-1.364,-0.096614,-0.979,-0.514787,-19.817,-0.469279,-16.171,-0.418603,-12.702,-0.33363,-8.055,-0.295335,-6.374,-0.215593,-3.586,-0.259711,-5.016,-0.246037,-4.544,-0.114899,-1.271,-0.313651,-7.148,-0.318743,-7.373,-0.152078,-1.982,109.474
f1551218,-0.056921,-0.468,-0.010062,-0.062,-0.091725,-0.907,-0.015565,-0.1,0.002598,-0.015,-0.025436,-0.174,0.047803,-0.373,-0.011595,-0.073,0.114039,-1.257,0.275362,-5.589,0.403825,-11.794,0.322434,-7.539,0.407909,-12.041,0.254744,-4.841,0.259325,-5.002,0.386635,-10.794,0.316757,-7.285,0.366172,-9.676,0.338091,-8.266,0.239923,-4.341,0.333122,-8.031,0.27343,-5.516,0.16941,-2.369,0.301392,-6.624,0.269683,-5.377,0.210258,-3.432,0.269068,-5.354,108.888
f1441914,-0.029482,-0.207,0.010359,-0.064,-0.070216,-0.621,-0.007979,-0.049,0.013777,-0.087,-0.027994,-0.194,0.017369,-0.113,-0.041028,-0.308,0.095892,-0.968,0.342432,-8.475,0.409835,-12.158,0.3166,-7.278,0.407358,-12.007,0.310158,-6.997,0.332963,-8.024,0.46971,-16.203,0.36922,-9.838,0.445339,-14.46,0.29723,-6.452,0.201738,-3.192,0.282025,-5.844,0.207901,-3.365,0.108066,-1.158,0.241823,-4.403,0.201774,-3.193,0.154831,-2.041,0.19991,-3.142,107.736
f1443314,-0.047829,-0.374,-0.014102,-0.09,-0.063485,-0.542,0.001412,-0.008,0.019674,-0.13,-0.02156,-0.144,0.022145,-0.148,-0.027067,-0.187,0.080781,-0.756,0.362242,-9.471,0.420955,-12.85,0.348013,-8.749,0.373881,-10.088,0.338481,-8.285,0.3264,-7.719,0.488914,-17.678,0.40127,-11.642,0.4362,-13.841,0.301663,-6.636,0.225618,-3.888,0.247243,-4.584,0.197473,-3.076,0.118828,-1.339,0.195681,-3.028,0.205558,-3.298,0.177598,-2.565,0.16097,-2.176,106.959
f1450114,0.072601,-0.651,0.048325,-0.379,0.059007,-0.491,0.020991,-0.14,0.030429,-0.214,-0.011032,-0.069,-0.048367,-0.379,-0.037685,-0.277,-0.035378,-0.257,-0.01473,-0.094,-0.346717,-8.685,-0.386272,-10.773,-0.144494,-1.824,-0.032378,-0.231,0.023839,-0.161,-0.470909,-16.292,-0.473139,-16.46,-0.334239,-8.084,-0.327253,-7.758,-0.350326,-8.864,-0.118169,-1.327,-0.260359,-5.039,-0.312562,-7.101,-0.011372,-0.071,-0.326743,-7.735,-0.369729,-9.865,-0.081755,-0.769,106.656
f1440814,-0.039103,-0.29,0.000769,-0.004,-0.072949,-0.655,-0.009282,-0.057,0.011857,-0.074,-0.027731,-0.192,0.024577,-0.167,-0.03286,-0.235,0.096984,-0.985,0.342092,-8.459,0.412859,-12.344,0.32177,-7.509,0.407676,-12.026,0.312472,-7.097,0.326575,-7.727,0.459948,-15.488,0.363961,-9.56,0.433327,-13.651,0.301648,-6.635,0.20475,-3.276,0.28982,-6.151,0.216106,-3.602,0.115775,-1.286,0.248277,-4.619,0.213411,-3.523,0.166012,-2.291,0.207078,-3.341,106.647
