metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1448214,0.070008,-0.619,0.039359,-0.293,0.069109,-0.608,0.025874,-0.177,0.027588,-0.191,7e-06,-0.0,-0.048359,-0.379,-0.02305,-0.155,-0.056374,-0.462,-0.095025,-0.956,-0.387776,-10.858,-0.400424,-11.592,-0.213964,-3.539,-0.103872,-1.091,-0.057941,-0.479,-0.506313,-19.097,-0.487338,-17.553,-0.380326,-10.441,-0.34531,-8.616,-0.34098,-8.405,-0.165897,-2.288,-0.259835,-5.02,-0.28025,-5.776,-0.061026,-0.514,-0.322323,-7.534,-0.349918,-8.843,-0.1108,-1.202,113.735
f1539014,0.031301,-0.222,0.062286,-0.528,-0.03935,-0.293,-0.011937,-0.075,-0.004491,-0.027,-0.009045,-0.056,-0.033655,-0.242,-0.069747,-0.616,0.046651,-0.362,0.462851,-15.698,0.38831,-10.889,0.312635,-7.104,0.387108,-10.821,0.415363,-12.499,0.461396,-15.593,0.458545,-15.387,0.37629,-10.219,0.440783,-14.149,0.249685,-4.667,0.200143,-3.149,0.20054,-3.159,0.125357,-1.455,0.062326,-0.528,0.163533,-2.234,0.078721,-0.729,0.043957,-0.336,0.125351,-1.455,112.359
f1441914,-0.036556,-0.267,0.004459,-0.027,-0.073361,-0.66,-0.008197,-0.05,0.013468,-0.085,-0.028318,-0.197,0.022723,-0.153,-0.036359,-0.266,0.098604,-1.009,0.350676,-8.881,0.41411,-12.421,0.321231,-7.485,0.410609,-12.205,0.319484,-7.406,0.336109,-8.172,0.46305,-15.713,0.364843,-9.607,0.438086,-13.967,0.301904,-6.646,0.204575,-3.271,0.288827,-6.112,0.211604,-3.47,0.11003,-1.19,0.247265,-4.585,0.207044,-3.34,0.159187,-2.136,0.204169,-3.26,108.615
f1440714,0.04406,-0.337,0.002812,-0.017,0.079886,-0.744,0.017847,-0.116,0.002712,-0.016,0.021516,-0.144,-0.028082,-0.195,0.02419,-0.164,-0.094145,-0.943,-0.273649,-5.525,-0.42672,-13.219,-0.354907,-9.094,-0.390618,-11.021,-0.248599,-4.63,-0.26859,-5.336,-0.514888,-19.826,-0.430239,-13.448,-0.469276,-16.171,-0.326164,-7.708,-0.249072,-4.646,-0.277035,-5.652,-0.244428,-4.49,-0.170025,-2.384,-0.220816,-3.742,-0.254993,-4.85,-0.221125,-3.751,-0.206184,-3.316,107.0
f1450114,0.072601,-0.651,0.048325,-0.379,0.059007,-0.491,0.020991,-0.14,0.030429,-0.214,-0.011032,-0.069,-0.048367,-0.379,-0.037685,-0.277,-0.035378,-0.257,-0.01473,-0.094,-0.346717,-8.685,-0.386272,-10.773,-0.144494,-1.824,-0.032378,-0.231,0.023839,-0.161,-0.470909,-16.292,-0.473139,-16.46,-0.334239,-8.084,-0.327253,-7.758,-0.350326,-8.864,-0.118169,-1.327,-0.260359,-5.039,-0.312562,-7.101,-0.011372,-0.071,-0.326743,-7.735,-0.369729,-9.865,-0.081755,-0.769,106.656
f1440814,-0.039103,-0.29,0.000769,-0.004,-0.072949,-0.655,-0.009282,-0.057,0.011857,-0.074,-0.027731,-0.192,0.024577,-0.167,-0.03286,-0.235,0.096984,-0.985,0.342092,-8.459,0.412859,-12.344,0.32177,-7.509,0.407676,-12.026,0.312472,-7.097,0.326575,-7.727,0.459948,-15.488,0.363961,-9.56,0.433327,-13.651,0.301648,-6.635,0.20475,-3.276,0.28982,-6.151,0.216106,-3.602,0.115775,-1.286,0.248277,-4.619,0.213411,-3.523,0.166012,-2.291,0.207078,-3.341,106.647
f1443314,-0.053932,-0.436,-0.019108,-0.126,-0.066488,-0.577,0.000831,-0.005,0.018896,-0.124,-0.021722,-0.145,0.027147,-0.188,-0.022683,-0.152,0.083342,-0.79,0.367026,-9.722,0.422825,-12.969,0.350007,-8.848,0.37587,-10.196,0.344221,-8.562,0.327348,-7.763,0.480462,-17.017,0.394952,-11.271,0.428028,-13.304,0.304659,-6.762,0.226957,-3.929,0.252994,-4.78,0.200347,-3.154,0.119991,-1.359,0.200818,-3.167,0.209766,-3.418,0.180636,-2.64,0.165224,-2.272,106.414
f1332118,-0.052222,-0.418,-0.011696,-0.073,-0.077821,-0.717,-0.00785,-0.048,0.011552,-0.072,-0.023926,-0.162,0.030311,-0.213,-0.025682,-0.176,0.095961,-0.969,0.336217,-8.177,0.417,-12.601,0.329832,-7.877,0.403306,-11.763,0.310943,-7.031,0.312346,-7.092,0.460092,-15.498,0.366202,-9.678,0.430015,-13.433,0.300346,-6.581,0.203748,-3.248,0.288675,-6.106,0.222837,-3.803,0.125444,-1.456,0.24574,-4.534,0.234316,-4.16,0.188384,-2.836,0.213152,-3.515,105.837
f1434414,0.075987,-0.693,0.04234,-0.32,0.07517,-0.683,0.014553,-0.093,0.008748,-0.054,0.006692,-0.041,-0.048579,-0.381,-0.013372,-0.085,-0.071699,-0.64,-0.106787,-1.137,-0.390062,-10.989,-0.370563,-9.91,-0.269092,-5.355,-0.105868,-1.122,-0.088977,-0.868,-0.521877,-20.436,-0.474325,-16.549,-0.425755,-13.157,-0.3313,-7.946,-0.294017,-6.32,-0.211594,-3.47,-0.258568,-4.975,-0.245474,-4.525,-0.112687,-1.234,-0.312403,-7.094,-0.317105,-7.301,-0.152552,-1.992,105.057
f1445114,0.027891,-0.194,-0.002018,-0.012,0.05422,-0.439,-0.027709,-0.192,-0.029488,-0.207,-0.014367,-0.092,0.006383,-0.039,0.037238,-0.273,-0.042844,-0.325,-0.390526,-11.015,-0.396999,-11.39,-0.335771,-8.156,-0.336685,-8.199,-0.35805,-9.254,-0.363161,-9.519,-0.468226,-16.093,-0.383694,-10.628,-0.406733,-11.969,-0.268989,-5.351,-0.230581,-4.042,-0.169577,-2.373,-0.17389,-2.476,-0.125344,-1.455,-0.139094,-1.715,-0.156813,-2.084,-0.129976,-1.54,-0.142392,-1.781,101.574
f1447914,0.012088,-0.076,-0.026235,-0.18,0.070665,-0.627,0.009502,-0.059,0.008331,-0.051,-0.006499,-0.039,0.003505,-0.021,0.040872,-0.307,-0.059295,-0.494,-0.279004,-5.728,-0.396091,-11.337,-0.34721,-8.709,-0.327729,-7.78,-0.245988,-4.542,-0.290918,-6.195,-0.542934,-22.362,-0.474357,-16.551,-0.4667,-15.98,-0.289237,-6.128,-0.25488,-4.846,-0.177737,-2.569,-0.169824,-2.379,-0.137671,-1.687,-0.112531,-1.231,-0.191,-2.904,-0.180037,-2.625,-0.130624,-1.552,100.77
f1440014,0.013135,-0.083,-0.029036,-0.203,0.077449,-0.712,0.013431,-0.085,0.005991,-0.036,0.003708,-0.022,-0.003742,-0.022,0.043046,-0.327,-0.077751,-0.716,-0.267975,-5.314,-0.387896,-10.865,-0.309538,-6.97,-0.381758,-10.52,-0.2233,-3.817,-0.311997,-7.076,-0.533748,-21.505,-0.442907,-14.293,-0.497837,-18.395,-0.279572,-5.75,-0.214083,-3.542,-0.232295,-4.096,-0.175433,-2.513,-0.111713,-1.218,-0.172502,-2.442,-0.187015,-2.801,-0.152142,-1.983,-0.179079,-2.602,100.688
f1538414,-0.062353,-0.529,-0.021421,-0.143,-0.081584,-0.766,-0.019487,-0.128,-0.014012,-0.089,-0.001977,-0.012,0.040693,-0.305,-0.003107,-0.018,0.074537,-0.675,0.204687,-3.274,0.414722,-12.459,0.370679,-9.916,0.326809,-7.738,0.196391,-3.047,0.179841,-2.62,0.489797,-17.748,0.428225,-13.317,0.402111,-11.692,0.356514,-9.176,0.301372,-6.624,0.250812,-4.705,0.25704,-4.921,0.206472,-3.324,0.187166,-2.805,0.29459,-6.344,0.276697,-5.64,0.193604,-2.973,100.654
f1332218,-0.047533,-0.371,-0.010655,-0.066,-0.070262,-0.622,-0.002734,-0.016,0.015657,-0.101,-0.021128,-0.141,0.022384,-0.15,-0.029059,-0.203,0.085432,-0.819,0.333793,-8.063,0.40488,-11.858,0.324889,-7.65,0.376844,-10.249,0.308408,-6.921,0.311257,-7.044,0.476545,-16.717,0.385777,-10.745,0.437105,-13.902,0.283376,-5.897,0.197239,-3.07,0.254723,-4.84,0.195961,-3.036,0.108376,-1.163,0.208996,-3.396,0.204463,-3.268,0.172026,-2.431,0.166173,-2.294,99.046
f1332318,-0.042938,-0.326,-0.004929,-0.03,-0.070098,-0.62,-0.003005,-0.018,0.015221,-0.098,-0.021346,-0.142,0.02005,-0.133,-0.032357,-0.231,0.085968,-0.826,0.349025,-8.799,0.398727,-11.491,0.316946,-7.293,0.376301,-10.22,0.32226,-7.531,0.325647,-7.685,0.467294,-16.024,0.375743,-10.189,0.431172,-13.509,0.273436,-5.516,0.187144,-2.804,0.24957,-4.663,0.182932,-2.697,0.093567,-0.934,0.206347,-3.321,0.18924,-2.858,0.155964,-2.066,0.161449,-2.187,98.257
f1434614,0.061717,-0.522,0.027636,-0.191,0.072219,-0.646,0.01431,-0.091,0.003063,-0.018,0.015444,-0.099,-0.040091,-0.299,0.001141,-0.007,-0.079479,-0.739,-0.154211,-2.028,-0.382421,-10.557,-0.346708,-8.684,-0.292946,-6.277,-0.147472,-1.885,-0.137272,-1.68,-0.511914,-19.571,-0.452315,-14.945,-0.435471,-13.793,-0.314914,-7.204,-0.263998,-5.169,-0.225465,-3.883,-0.227199,-3.936,-0.195267,-3.017,-0.130937,-1.558,-0.266463,-5.259,-0.263001,-5.133,-0.146069,-1.856,96.592
f1542114,-0.054017,-0.437,-0.021716,-0.145,-0.063946,-0.547,-0.000797,-0.005,0.014671,-0.094,-0.015193,-0.097,0.035879,-0.261,-0.010866,-0.068,0.077963,-0.719,0.365015,-9.616,0.405841,-11.915,0.32814,-7.799,0.355752,-9.137,0.340072,-8.361,0.32577,-7.69,0.447616,-14.617,0.355529,-9.126,0.392845,-11.149,0.290444,-6.176,0.206146,-3.315,0.239882,-4.34,0.195634,-3.027,0.109521,-1.181,0.194742,-3.003,0.199455,-3.13,0.171555,-2.42,0.148784,-1.912,95.586
f1451414,0.030405,-0.214,0.001732,-0.01,0.052572,-0.422,0.012749,-0.08,0.020822,-0.138,-0.013094,-0.083,-0.000197,-0.001,0.017833,-0.116,-0.028168,-0.196,-0.098056,-1.001,-0.359023,-9.304,-0.354165,-9.057,-0.235591,-4.201,-0.081998,-0.772,-0.121769,-1.39,-0.513023,-19.666,-0.479204,-16.921,-0.420377,-12.813,-0.312963,-7.118,-0.318439,-7.36,-0.135736,-1.65,-0.22078,-3.741,-0.231559,-4.072,-0.067445,-0.588,-0.263093,-5.136,-0.279293,-5.739,-0.105378,-1.115,93.114
f1440314,-0.031905,-0.227,0.014012,-0.089,-0.081715,-0.768,-0.017696,-0.115,-0.003053,-0.018,-0.024734,-0.168,0.020014,-0.132,-0.035972,-0.262,0.099426,-1.022,0.264186,-5.176,0.394577,-11.249,0.328447,-7.813,0.361416,-9.428,0.23397,-4.149,0.271784,-5.455,0.501509,-18.697,0.421392,-12.878,0.460341,-15.516,0.301633,-6.634,0.238425,-4.292,0.241726,-4.4,0.21325,-3.518,0.150126,-1.941,0.187109,-2.803,0.202816,-3.222,0.174375,-2.487,0.165579,-2.281,92.846
f1458414,0.108087,-1.158,0.078493,-0.726,0.070153,-0.621,0.005811,-0.035,0.00837,-0.051,-0.003333,-0.02,-0.057352,-0.473,-0.036129,-0.264,-0.049821,-0.394,-0.055421,-0.452,-0.34903,-8.799,-0.383178,-10.6,-0.160726,-2.171,-0.082216,-0.775,0.017155,-0.111,-0.382152,-10.542,-0.394449,-11.241,-0.258657,-4.978,-0.330884,-7.926,-0.331366,-7.949,-0.166965,-2.313,-0.287201,-6.047,-0.318039,-7.342,-0.065243,-0.562,-0.354392,-9.068,-0.382563,-10.565,-0.125254,-1.453,90.079
f1539114,0.06132,-0.517,0.017926,-0.117,0.088193,-0.857,-0.025835,-0.177,-0.014795,-0.095,-0.034667,-0.251,-0.019956,-0.132,0.011247,-0.07,-0.054909,-0.447,-0.212198,-3.488,-0.39954,-11.539,-0.352276,-8.961,-0.309249,-6.958,-0.184497,-2.737,-0.22091,-3.744,-0.524769,-20.693,-0.446787,-14.56,-0.438326,-13.984,-0.31355,-7.144,-0.281671,-5.83,-0.178496,-2.587,-0.240803,-4.37,-0.207924,-3.365,-0.134766,-1.631,-0.252744,-4.772,-0.237176,-4.252,-0.163605,-2.236,89.669
f1447114,0.033466,-0.24,-0.006145,-0.037,0.078446,-0.725,0.00861,-0.053,0.010725,-0.067,-0.012781,-0.081,-0.010352,-0.064,0.024799,-0.169,-0.059166,-0.493,-0.233402,-4.131,-0.392995,-11.157,-0.349603,-8.828,-0.31633,-7.266,-0.208667,-3.386,-0.239441,-4.325,-0.524036,-20.628,-0.465295,-15.877,-0.435271,-13.78,-0.304262,-6.745,-0.265482,-5.223,-0.196076,-3.039,-0.194419,-2.994,-0.161424,-2.186,-0.126048,-1.467,-0.227469,-3.945,-0.216431,-3.611,-0.149678,-1.931,89.504
f1440414,-0.032399,-0.231,-0.00011,-0.001,-0.062269,-0.528,-0.019981,-0.132,-0.008131,-0.05,-0.018671,-0.122,0.01847,-0.121,-0.02117,-0.141,0.071986,-0.643,0.222337,-3.788,0.389679,-10.967,0.338745,-8.298,0.335492,-8.143,0.197844,-3.086,0.231012,-4.055,0.514681,-19.808,0.440394,-14.123,0.469013,-16.151,0.302731,-6.68,0.260803,-5.054,0.20628,-3.319,0.214614,-3.558,0.168295,-2.343,0.162899,-2.22,0.22563,-3.888,0.208172,-3.372,0.158915,-2.13,89.224
f1442014,-0.065192,-0.561,-0.039124,-0.291,-0.058625,-0.487,-0.02339,-0.158,-0.018189,-0.119,-0.017189,-0.112,0.054965,-0.447,0.030032,-0.211,0.0669,-0.582,0.034322,-0.248,0.32521,-7.665,0.349042,-8.8,0.175738,-2.52,0.044853,-0.344,0.007451,-0.045,0.405479,-11.894,0.396196,-11.343,0.316896,-7.291,0.320498,-7.452,0.333302,-8.039,0.149824,-1.934,0.267477,-5.296,0.296107,-6.406,0.073589,-0.663,0.291721,-6.228,0.317782,-7.33,0.108152,-1.159,87.744
f1451114,0.047226,-0.368,0.014016,-0.089,0.06225,-0.528,0.008705,-0.053,0.013723,-0.087,-0.010347,-0.064,-0.015969,-0.103,0.0093,-0.057,-0.041911,-0.316,-0.12141,-1.384,-0.359829,-9.346,-0.349436,-8.819,-0.237752,-4.27,-0.109298,-1.178,-0.127494,-1.494,-0.483146,-17.225,-0.450335,-14.806,-0.389361,-10.949,-0.306965,-6.86,-0.293653,-6.306,-0.15735,-2.096,-0.219599,-3.705,-0.21612,-3.602,-0.08205,-0.773,-0.271268,-5.436,-0.286171,-6.006,-0.104097,-1.094,85.753
f1457214,0.047226,-0.368,0.014016,-0.089,0.06225,-0.528,0.008705,-0.053,0.013723,-0.087,-0.010347,-0.064,-0.015969,-0.103,0.0093,-0.057,-0.041911,-0.316,-0.12141,-1.384,-0.359829,-9.346,-0.349436,-8.819,-0.237752,-4.27,-0.109298,-1.178,-0.127494,-1.494,-0.483146,-17.225,-0.450335,-14.806,-0.389361,-10.949,-0.306965,-6.86,-0.293653,-6.306,-0.15735,-2.096,-0.219599,-3.705,-0.21612,-3.602,-0.08205,-0.773,-0.271268,-5.436,-0.286171,-6.006,-0.104097,-1.094,85.753
f1451314,0.038806,-0.288,0.013233,-0.084,0.049645,-0.392,0.012363,-0.078,0.021892,-0.146,-0.013614,-0.086,-0.004635,-0.028,0.00814,-0.05,-0.022722,-0.153,-0.048669,-0.382,-0.331755,-7.967,-0.340015,-8.359,-0.200084,-3.147,-0.039087,-0.29,-0.070981,-0.631,-0.481679,-17.111,-0.458935,-15.415,-0.389226,-10.941,-0.298086,-6.487,-0.315905,-7.247,-0.113691,-1.251,-0.219632,-3.706,-0.244065,-4.478,-0.048615,-0.382,-0.272477,-5.481,-0.294184,-6.327,-0.101523,-1.054,85.335
f1457014,0.005394,-0.032,0.047709,-0.373,-0.059102,-0.492,0.002664,-0.016,0.001766,-0.01,0.011697,-0.073,-0.031809,-0.226,-0.071202,-0.633,0.045109,-0.347,0.278811,-5.72,0.362731,-9.496,0.300326,-6.58,0.330633,-7.915,0.243374,-4.455,0.297251,-6.453,0.484284,-17.314,0.415015,-12.477,0.422501,-12.948,0.274613,-5.561,0.221369,-3.758,0.20459,-3.271,0.158236,-2.115,0.099607,-1.024,0.154394,-2.032,0.145728,-1.849,0.125451,-1.457,0.118052,-1.325,84.464
f1440514,-0.032648,-0.233,0.008963,-0.055,-0.073174,-0.658,-0.011479,-0.072,-0.011066,-0.069,-0.001251,-0.007,0.012149,-0.076,-0.026073,-0.179,0.066418,-0.576,0.142367,-1.781,0.364458,-9.586,0.327007,-7.747,0.297834,-6.477,0.119914,-1.358,0.167355,-2.322,0.509429,-19.359,0.450331,-14.806,0.444794,-14.423,0.300112,-6.571,0.264495,-5.187,0.199765,-3.138,0.22024,-3.724,0.195866,-3.033,0.12755,-1.495,0.238623,-4.299,0.22789,-3.958,0.154952,-2.044,84.156
f1457314,0.054155,-0.439,0.005153,-0.031,0.092962,-0.925,0.025073,-0.171,0.029771,-0.209,-0.008664,-0.053,-0.026698,-0.184,0.011943,-0.075,-0.068798,-0.604,-0.083571,-0.793,-0.345964,-8.648,-0.3194,-7.403,-0.27169,-5.451,-0.06058,-0.509,-0.12595,-1.466,-0.439214,-14.043,-0.4039,-11.799,-0.368553,-9.803,-0.311805,-7.068,-0.285834,-5.993,-0.193527,-2.971,-0.251597,-4.732,-0.229206,-3.999,-0.144363,-1.821,-0.290492,-6.178,-0.279895,-5.762,-0.176295,-2.534,82.148
f1457114,-0.005271,-0.032,0.034671,-0.251,-0.058391,-0.484,-0.002469,-0.015,-0.003862,-0.023,0.010041,-0.062,-0.022602,-0.152,-0.058403,-0.485,0.042691,-0.324,0.251573,-4.731,0.371875,-9.98,0.32621,-7.711,0.308711,-6.934,0.221968,-3.776,0.265278,-5.215,0.496515,-18.288,0.438081,-13.967,0.42595,-13.169,0.288146,-6.085,0.248905,-4.64,0.188587,-2.842,0.174865,-2.499,0.135468,-1.644,0.126717,-1.48,0.180527,-2.637,0.173335,-2.462,0.107181,-1.143,81.349
f1451014,0.055663,-0.455,0.025748,-0.176,0.058856,-0.49,0.006223,-0.038,0.012424,-0.078,-0.011237,-0.07,-0.01807,-0.118,0.001922,-0.011,-0.035461,-0.258,-0.074865,-0.679,-0.337633,-8.244,-0.340286,-8.372,-0.204556,-3.27,-0.06877,-0.604,-0.079807,-0.743,-0.462491,-15.672,-0.439693,-14.076,-0.366712,-9.705,-0.295139,-6.366,-0.294561,-6.343,-0.134931,-1.634,-0.219032,-3.688,-0.229743,-4.015,-0.061286,-0.517,-0.28187,-5.838,-0.303489,-6.712,-0.098063,-1.001,81.328
